2019-06-24 15:57:26,027 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 15:57:26,280 | imap_monitor | INFO | server connection established
2019-06-24 15:57:26,282 | imap_monitor | INFO | selecting IMAP folder - INBOX
2019-06-24 15:57:26,319 | imap_monitor | INFO | folder selected
2019-06-24 15:57:27,445 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:28,533 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:29,632 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:30,728 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:31,890 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:32,981 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:34,042 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:35,137 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:36,243 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:37,332 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:38,418 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:39,511 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:40,598 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:41,691 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:42,790 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:43,882 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:44,978 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:46,069 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:47,165 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:48,257 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:49,358 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:50,448 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:51,537 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:52,656 | imap_monitor | INFO | no new messages seen
2019-06-24 15:57:53,743 | imap_monitor | INFO | no new messages seen
